y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
1072;201801834;F;7,1;0,789;144;9,43; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,6;CÁLCULO DE UNA VARIABLE;7,22;COMUNICACIÓN I;6;FUNDAMENTOS DE PROGRAMACIÓN;6,2;QUÍMICA GENERAL;7,47;;;;
1073;201600301;M;7,68;0,831;128;11,11; ;;;;;;;;;;;;;;COMUNICACIÓN I;7,25;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;9,12;FUNDAMENTOS DE PROGRAMACIÓN;4,6;INGLÉS III;8,43;;;;;;
1074;201805249;F;7,69;0,482;127;9,93; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,3;ARTE Y TECNOLOGÍA;9,56;COMUNICACIÓN I;6,6;FUNDAMENTOS DE PROGRAMACIÓN;3,94;;;;;;
1075;201411604;M;7,03;0,641;107;35,15;BIOLOGÍA;5,77;DIBUJO TÉCNICO Y PLANOS;6,76;ESTADÍSTICA;5,40;FUNDAMENTOS DE PROGRAMACIÓN;4,98;INGLÉS III;4,36;RESISTENCIA DE MATERIALES;6,02;;;BIOLOGÍA;5,1;ESTADÍSTICA;3,98;FUNDAMENTOS DE PROGRAMACIÓN;3,7;INGLÉS IV;1,61;TOPOGRAFÍA;5,42;;;;
1076;201804838;M;8,27;;131;18,63; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,15;CÁLCULO DE UNA VARIABLE;6,2;COMUNICACIÓN I;7,45;FUNDAMENTOS DE PROGRAMACIÓN;8,86;QUÍMICA GENERAL;7,77;;;;
1077;201804499;F;8,35;5,215;113;19,86; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,3;ARTE Y TECNOLOGÍA;7,92;COMUNICACIÓN I;7,9;FUNDAMENTOS DE PROGRAMACIÓN;5,12;MATEMÁTICAS;8,12;TEORÍA DE LA CULTURA;8,3;;
1078;201807112;M;8,08;0,809;146;9,32; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,05;CÁLCULO DE UNA VARIABLE;8,3;COMUNICACIÓN I;6,6;FUNDAMENTOS DE PROGRAMACIÓN;9,64;QUÍMICA GENERAL;7,83;;;;
1079;201208406;M;6,64;0,231;90;37,5;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,25;FUNDAMENTOS DE MERCADEO;5,45;FUNDAMENTOS DE PROGRAMACIÓN;1,26;INGLÉS V;6,38;;;;;;;BIOLOGÍA;2,6;COMUNICACIÓN II;1,35;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;1,62;FUNDAMENTOS DE MERCADEO;1,6;FUNDAMENTOS DE PROGRAMACIÓN;1,68;MUESTREO;2,1;;
1080;201802170;F;7,75;0,555;142;11,25; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,5;CÁLCULO DE UNA VARIABLE;4,7;COMUNICACIÓN I;6,25;FUNDAMENTOS DE PROGRAMACIÓN;2,96;QUÍMICA GENERAL;6,72;;;;
1081;201803855;F;7,14;0,598;153;7,27; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,3;CÁLCULO DE UNA VARIABLE;5,72;COMUNICACIÓN I;6,7;FUNDAMENTOS DE PROGRAMACIÓN;6;QUÍMICA GENERAL;6,55;;;;
1082;201805405;M;8;1,013;132;16,98; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,3;CÁLCULO DE UNA VARIABLE;6,5;COMUNICACIÓN I;6,05;FUNDAMENTOS DE PROGRAMACIÓN;5,56;QUÍMICA GENERAL;7,1;;;;
1083;201804655;F;7,73;0,807;101;22,9; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,7;COMUNICACIÓN I;7,1;FUNDAMENTOS DE PROGRAMACIÓN;6,12;MATEMÁTICAS;8;QUÍMICA GENERAL;8,16;;;;
1084;201801941;M;6,99;0,759;137;14,91; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,8;CÁLCULO DE UNA VARIABLE;5,54;COMUNICACIÓN I;6,05;FUNDAMENTOS DE PROGRAMACIÓN;6,74;INGLÉS IV;7,51;QUÍMICA GENERAL;7,07;;
1085;201308738;M;7,3;;64;55,56;BIOLOGÍA;6,47;ECONOMÍA MATEMÁTICA;7,11;ENOLOGÍA;8,00;ESTADÍSTICA INFERENCIAL;5,72;FINANZAS I;6,35;INGLÉS IV;8,43;MACROECONOMÍA I;6,40;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,85;COMUNICACIÓN II;6,15;ESTADÍSTICA INFERENCIAL;5,12;FUNDAMENTOS DE PROGRAMACIÓN;6,86;MACROECONOMÍA II;7,45;;;;
1086;201803566;F;6,89;0,552;147;10,91; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,05;CÁLCULO DE UNA VARIABLE;7,44;COMUNICACIÓN I;6,6;FUNDAMENTOS DE PROGRAMACIÓN;6,76;;;;;;
